Speaker	Recording	Speaker ID	Stimuli	Gender	File	Human Label 1	Human Label 2	Human Boundary	MFA Label 1	MFA Label 2	MFA Boundary	Diff	Diff(abs)
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	SIL	li3	0.13	SIL	li3	0.13	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	li3	ming2	0.279169191490416	li3	ming2	0.25	0.029169191490416024	0.029169191490416024
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	ming2	ye3	0.5	ming2	ye3	0.5	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	ye3	mei2	0.6250025438414251	ye3	mei2	0.6	0.025002543841425084	0.025002543841425084
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	mei2	jian4	0.82	mei2	jian4	0.82	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	jian4	guo4	0.96	jian4	guo4	0.96	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	guo4	shui2	1.06	guo4	shui2	1.06	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	shui2	SIL	1.41	shui2	SIL	1.41	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	SIL	li3	0.27	SIL	li3	0.27	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	li3	ming2	0.4498744667663466	li3	ming2	0.43	0.019874466766346632	0.019874466766346632
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	ming2	ye3	0.63	ming2	ye3	0.63	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	ye3	mei2	0.7958896196866433	ye3	mei2	0.72	0.07588961968664332	0.07588961968664332
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	mei2	jian4	0.91	mei2	jian4	0.91	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	jian4	guo4	1.07	jian4	guo4	1.07	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	guo4	shui2	1.2067826137794957	guo4	shui2	1.18	0.026782613779495756	0.026782613779495756
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	shui2	SIL	1.55	shui2	SIL	1.55	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	SIL	shui2	0.22	SIL	shui2	0.22	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	shui2	ye3	0.5071900882601994	shui2	ye3	0.48	0.02719008826019942	0.02719008826019942
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	ye3	mei2	0.6593296013228422	ye3	mei2	0.62	0.039329601322842245	0.039329601322842245
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	mei2	jian4	0.84	mei2	jian4	0.84	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	jian4	guo4	1.0158585612272175	jian4	guo4	1	0.015858561227217516	0.015858561227217516
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	guo4	li3	1.1387995818838985	guo4	li3	1.12	0.01879958188389841	0.01879958188389841
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	li3	ming2	1.27	li3	ming2	1.27	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	ming2	SIL	1.69	ming2	SIL	1.69	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	SIL	shui2	0.13	SIL	shui2	0.13	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	shui2	SIL	0.7	shui2	SIL	0.7	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	SIL	ye3	0.76	SIL	ye3	0.76	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	ye3	mei2	0.9511213453103775	ye3	mei2	0.92	0.03112134531037747	0.03112134531037747
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	mei2	jian4	1.12	mei2	jian4	1.12	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	jian4	guo4	1.3201870540317169	jian4	guo4	1.27	0.05018705403171686	0.05018705403171686
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	guo4	li3	1.4497149229579562	guo4	li3	1.38	0.06971492295795634	0.06971492295795634
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_interro	li3	ming2	1.5614992481956695	li3	ming2	1.51	0.051499248195669534	0.051499248195669534
