Speaker	Recording	Speaker ID	Stimuli	Gender	File	Human Label 1	Human Label 2	Human Boundary	MFA Label 1	MFA Label 2	MFA Boundary	Diff	Diff(abs)
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	SIL	sub	0.13	SIL	li3ming2	0.13	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	sub	also	0.5	li3ming2	ye3	0.5	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	also	neg	0.62	ye3	mei2	0.62	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	neg	v-asp	0.79	mei2	jian4guo4	0.79	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	v-asp	wh	1.05	jian4guo4	shui2	1.06	-0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_indef	wh	SIL	1.41	shui2	SIL	1.41	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	SIL	sub	0.27	SIL	li3ming2	0.27	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	sub	also	0.6184650165700273	li3ming2	ye3	0.63	-0.011534983429972723	0.011534983429972723
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	also	neg	0.7847903413839	ye3	mei2	0.73	0.05479034138390004	0.05479034138390004
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	neg	v-asp	0.9417010251705725	mei2	jian4guo4	0.89	0.05170102517057251	0.05170102517057251
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	v-asp	wh	1.2162947217972493	jian4guo4	shui2	1.18	0.03629472179724935	0.03629472179724935
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub0adv0anim1_interro	wh	SIL	1.52	shui2	SIL	1.59	-0.07000000000000006	0.07000000000000006
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	SIL	sub	0.22	SIL	shui2	0.21	0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	sub	also	0.5120485454159022	shui2	ye3	0.48	0.032048545415902185	0.032048545415902185
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	also	neg	0.6542141026388911	ye3	mei2	0.63	0.024214102638891122	0.024214102638891122
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	neg	v-asp	0.8181226274371607	mei2	jian4guo4	0.8	0.018122627437160643	0.018122627437160643
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	v-asp	obj	1.1208516375237607	jian4guo4	li3ming2	1.12	0.0008516375237606066	0.0008516375237606066
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv0anim1_indef	obj	SIL	1.597524388212606	li3ming2	SIL	1.69	-0.09247561178739394	0.09247561178739394
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_indef	SIL	adv	0.10415869972239047	SIL	zuo2tian1	0.06	0.044158699722390476	0.044158699722390476
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_indef	adv	wh	0.38	zuo2tian1	shui2	0.38	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_indef	wh	also	0.549187558241035	shui2	ye3	0.58	-0.030812441758964915	0.030812441758964915
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_indef	also	neg	0.6867951658093001	ye3	mei2	0.66	0.02679516580930008	0.02679516580930008
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_indef	neg	v-asp	0.8463614341597351	mei2	jian4guo4	0.82	0.02636143415973513	0.02636143415973513
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_indef	v-asp	obj	1.14	jian4guo4	li3ming2	1.13	0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_indef	obj	SIL	1.63	li3ming2	SIL	1.63	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_interro	SIL	adv	0.1	SIL	zuo2tian1	0.09	0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_interro	adv	wh	0.56	zuo2tian1	shui2	0.56	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_interro	wh	also	0.9715643584885625	shui2	ye3	0.91	0.061564358488562454	0.061564358488562454
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_interro	also	neg	1.1224184444926586	ye3	mei2	1.12	0.002418444492658489	0.002418444492658489
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_interro	neg	v-asp	1.29	mei2	jian4guo4	1.29	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_interro	v-asp	obj	1.57	jian4guo4	li3ming2	1.57	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv1anim1_interro	obj	SIL	2.054407386791939	li3ming2	SIL	2.31	-0.25559261320806126	0.25559261320806126
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv2anim1_indef	SIL	adv	0.13	SIL	shang4ge4xing1qi1san1	0.12	0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv2anim1_indef	adv	wh	1.02	shang4ge4xing1qi1san1	shui2	1.02	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv2anim1_indef	wh	also	1.21	shui2	ye3	1.2	0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv2anim1_indef	also	neg	1.35	ye3	mei2	1.34	0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv2anim1_indef	neg	v-asp	1.5	mei2	jian4guo4	1.5	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv2anim1_indef	v-asp	obj	1.84	jian4guo4	li3ming2	1.84	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl0sub1adv2anim1_indef	obj	SIL	2.33	li3ming2	SIL	2.3471	-0.017100000000000115	0.017100000000000115
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub0adv0anim1_indef	SIL	sub	0.05	SIL	li3ming2	0.05	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub0adv0anim1_indef	sub	also	0.3582914872685662	li3ming2	ye3	0.37	-0.011708512731433807	0.011708512731433807
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub0adv0anim1_indef	also	neg	0.5253740474406786	ye3	mei2	0.49	0.035374047440678624	0.035374047440678624
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub0adv0anim1_indef	neg	v-asp	0.6719975186121242	mei2	jian4guo4	0.65	0.02199751861212418	0.02199751861212418
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub0adv0anim1_indef	v-asp	wh	0.9857035499556821	jian4guo4	na3ge4xue2sheng1	0.95	0.035703549955682146	0.035703549955682146
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub0adv0anim1_indef	wh	SIL	1.64	na3ge4xue2sheng1	SIL	1.63	0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv1anim1_indef	SIL	adv	0.06755536317811923	SIL	zuo2tian1	0.03	0.037555363178119236	0.037555363178119236
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv1anim1_indef	adv	wh	0.41	zuo2tian1	na3ge4xue2sheng1	0.42	-0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv1anim1_indef	wh	also	1.07	na3ge4xue2sheng1	ye3	1.07	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv1anim1_indef	also	neg	1.2	ye3	mei2	1.2	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv1anim1_indef	neg	v-asp	1.37	mei2	jian4guo4	1.37	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv1anim1_indef	v-asp	obj	1.7	jian4guo4	li3ming2	1.7	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv1anim1_indef	obj	SIL	2.15	li3ming2	SIL	2.15	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv2anim1_indef	SIL	adv	0.11637829944011595	SIL	shang4ge4xing1qi1san1	0.08	0.036378299440115947	0.036378299440115947
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv2anim1_indef	adv	wh	0.96	shang4ge4xing1qi1san1	na3ge4xue2sheng1	0.96	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv2anim1_indef	wh	also	1.5030925761252985	na3ge4xue2sheng1	ye3	1.54	-0.036907423874701584	0.036907423874701584
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv2anim1_indef	also	neg	1.65774472594149	ye3	mei2	1.63	0.027744725941490023	0.027744725941490023
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv2anim1_indef	neg	v-asp	1.8149744115879511	mei2	jian4guo4	1.78	0.034974411587951115	0.034974411587951115
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv2anim1_indef	v-asp	obj	2.08	jian4guo4	li3ming2	2.08	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s1dl1sub1adv2anim1_indef	obj	SIL	2.58	li3ming2	SIL	2.58	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub0adv0anim1_indef	SIL	sub	0.14222037841148508	SIL	zhang1wei3	0.1	0.04222037841148507	0.04222037841148507
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub0adv0anim1_indef	sub	also	0.44378598648661927	zhang1wei3	ye3	0.43	0.013785986486619273	0.013785986486619273
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub0adv0anim1_indef	also	neg	0.6077439869934883	ye3	mei2	0.57	0.037743986993488354	0.037743986993488354
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub0adv0anim1_indef	neg	v-asp	0.7804854518132253	mei2	qu4cai3fang3	0.75	0.03048545181322526	0.03048545181322526
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub0adv0anim1_indef	v-asp	wh	1.25	qu4cai3fang3	shui2	1.26	-0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub0adv0anim1_indef	wh	SIL	1.51	shui2	SIL	1.51	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_indef	SIL	wh	0.4110887083496101	SIL	shui2	0.36	0.0510887083496101	0.0510887083496101
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_indef	wh	also	0.632713478428366	shui2	ye3	0.6	0.03271347842836603	0.03271347842836603
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_indef	also	neg	0.7606432237583796	ye3	mei2	0.75	0.01064322375837956	0.01064322375837956
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_indef	neg	v-asp	0.92	mei2	qu4cai3fang3	0.92	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_indef	v-asp	obj	1.47	qu4cai3fang3	zhang1wei3	1.47	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_indef	obj	SIL	1.92	zhang1wei3	SIL	1.92	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_interro	SIL	wh	0.10610369422658782	SIL	shui2	0.06	0.04610369422658782	0.04610369422658782
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_interro	wh	also	0.4519768474540983	shui2	ye3	0.32	0.13197684745409827	0.13197684745409827
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_interro	also	neg	0.56	ye3	mei2	0.56	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_interro	neg	v-asp	0.7775045210799905	mei2	qu4cai3fang3	0.74	0.03750452107999047	0.03750452107999047
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_interro	v-asp	obj	1.26	qu4cai3fang3	zhang1wei3	1.27	-0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv0anim1_interro	obj	SIL	1.77	zhang1wei3	SIL	1.78	-0.010000000000000009	0.010000000000000009
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv2anim1_indef	SIL	adv	0.04	SIL	zuo2tian1dian4ying3jie2kai1mu4shi4hou4	0.04	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv2anim1_indef	adv	wh	1.608842880333784	zuo2tian1dian4ying3jie2kai1mu4shi4hou4	shui2	1.61	-0.001157119666216122	0.001157119666216122
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv2anim1_indef	wh	also	1.8292123247833922	shui2	ye3	1.84	-0.01078767521660784	0.01078767521660784
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv2anim1_indef	also	neg	1.91	ye3	mei2	1.91	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv2anim1_indef	neg	v-asp	2.07	mei2	qu4cai3fang3	2.07	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv2anim1_indef	v-asp	obj	2.6	qu4cai3fang3	zhang1wei3	2.59	0.010000000000000231	0.010000000000000231
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl0sub1adv2anim1_indef	obj	SIL	3.11	zhang1wei3	SIL	3.11	0.0	0.0
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl1sub0adv0anim1_indef	SIL	sub	0.07908653646670363	SIL	zhang1wei3	0.03	0.049086536466703634	0.049086536466703634
Lab_Speaker1_Group1_F	Lab	Speaker1	Group1	F	TMP_g1s2dl1sub0adv0anim1_indef	sub	also	0.38	zhang1wei3	ye3	0.37	0.010000000000000009	0.010000000000000009
